type_Ghost_PREDICTION,type_Ghoul_PREDICTION,type_Goblin_PREDICTION,type_PREDICTION
0.3813172281,0.1406691074,0.4780136943,Goblin
0.4249267876,0.1589220166,0.4161511958,Ghost
0.1845807135,0.3349615335,0.4804577529,Goblin
0.0720360354,0.6859565377,0.2420073897,Ghoul
0.3662131131,0.100067392,0.53371948,Goblin
0.2713562846,0.1915529817,0.5370907187,Goblin
0.0797987208,0.2617001534,0.6585011482,Goblin
0.0977051705,0.602940917,0.2993538976,Ghoul
0.6383477449,0.1125012636,0.2491510361,Ghost
0.1588089764,0.3670149744,0.474176079,Goblin
0.5876081586,0.1366998106,0.2756920159,Ghost
0.7903159857,0.0715130493,0.1381709725,Ghost
0.120087333,0.484505564,0.3954070508,Ghoul
0.0557372645,0.7787010074,0.1655617356,Ghoul
0.7572999001,0.0942799896,0.1484200656,Ghost
0.737822175,0.0962167978,0.1659610569,Ghost
0.6917085648,0.108126685,0.2001647204,Ghost
0.182020396,0.697465241,0.1205143034,Ghoul
0.1312547028,0.6093765497,0.2593687475,Ghoul
0.7929418087,0.0675210282,0.1395371556,Ghost
0.1790139824,0.2483223826,0.5726636648,Goblin
0.1169852167,0.3059796691,0.5770351291,Goblin
0.0665241703,0.7090091109,0.2244666964,Ghoul
0.4451089203,0.1155607849,0.4393302798,Ghost
0.1684530526,0.2961856425,0.53536129,Goblin
0.0582441278,0.7886554003,0.1531004459,Ghoul
0.1499210894,0.376114428,0.4739644527,Goblin
0.2057344913,0.2054157108,0.5888498425,Goblin
0.4034109712,0.1562047601,0.4403843284,Goblin
0.0689566284,0.6666022539,0.2644411623,Ghoul
0.3556949496,0.0935245827,0.5507805347,Goblin
0.5106828809,0.0995026752,0.3898144364,Ghost
0.0954827443,0.5876869559,0.3168302774,Ghoul
0.0744470283,0.5104386806,0.4151142836,Ghoul
0.7705806494,0.0625314415,0.166887939,Ghost
0.1068379283,0.5481921434,0.3449699283,Ghoul
0.6480713487,0.1096748933,0.2422537059,Ghost
0.7805798054,0.0673492849,0.1520708799,Ghost
0.461274296,0.1436992288,0.395026505,Ghost
0.102652587,0.3704431355,0.5269042253,Goblin
0.0852730721,0.6096209288,0.305106014,Ghoul
0.0915124267,0.5390687585,0.3694188297,Ghoul
0.1953759342,0.3318805099,0.4727435708,Goblin
0.1809072345,0.1320196241,0.6870731711,Goblin
0.6745116115,0.140393123,0.1850952655,Ghost
0.0535176918,0.7969720364,0.1495102495,Ghoul
0.0658395588,0.7098242044,0.2243362814,Ghoul
0.746196866,0.0932103842,0.1605927646,Ghost
0.198169291,0.7063074708,0.0955232307,Ghoul
0.0584388189,0.8055309653,0.1360301524,Ghoul
0.1241135672,0.5027505159,0.3731359243,Ghoul
0.0944975242,0.4115800261,0.4939224422,Goblin
0.0949514806,0.2886168063,0.6164317727,Goblin
0.8573820591,0.0578752086,0.0847427323,Ghost
0.7364684939,0.1155035794,0.1480279416,Ghost
0.1812238246,0.2470186949,0.5717574954,Goblin
0.8505702019,0.0688548014,0.0805749968,Ghost
0.1793792546,0.1590286642,0.6615920663,Goblin
0.7106725574,0.1146689504,0.1746585667,Ghost
0.813087225,0.0691408888,0.1177718937,Ghost
0.1496351957,0.6197323799,0.2306324095,Ghoul
0.870415628,0.0483216643,0.0812626779,Ghost
0.1355191618,0.3049678206,0.5595130324,Goblin
0.1019067988,0.7123209834,0.1857721806,Ghoul
0.0726400167,0.8070020676,0.1203579679,Ghoul
0.3625460565,0.1140196919,0.5234342813,Goblin
0.0605826601,0.8098576069,0.1295597553,Ghoul
0.0903073847,0.6070663333,0.3026262224,Ghoul
0.1232834086,0.5296037197,0.3471128941,Ghoul
0.7766366601,0.1110075191,0.1123557687,Ghost
0.5462184548,0.1836770624,0.2701044977,Ghost
0.071020022,0.7002640963,0.2287158668,Ghoul
0.6089335084,0.153888762,0.2371777743,Ghost
0.8066377044,0.0638960898,0.1294661462,Ghost
0.1315734088,0.2953782976,0.5730482936,Goblin
0.1699668318,0.3555519283,0.474481225,Goblin
0.0969577432,0.57281214,0.330230087,Ghoul
0.3514462709,0.467666924,0.1808867902,Ghoul
0.8463871479,0.0591180064,0.0944949016,Ghost
0.7789147496,0.0588787794,0.1622064263,Ghost
0.0886701569,0.5531057119,0.3582241535,Ghoul
0.1778579503,0.1764501333,0.6456918716,Goblin
0.675979197,0.1428967565,0.1811240613,Ghost
0.2803419828,0.5469545126,0.1727035195,Ghoul
0.2505528927,0.2727573216,0.4766897559,Goblin
0.2187451869,0.2500402927,0.5312145352,Goblin
0.1175281182,0.3783839941,0.504087925,Goblin
0.093098551,0.5484147072,0.3584867716,Ghoul
0.0737338215,0.6885706782,0.2376955003,Ghoul
0.8566595912,0.0559249222,0.0874154866,Ghost
0.8728995323,0.0608511791,0.0662492812,Ghost
0.7724770308,0.0769853666,0.1505375355,Ghost
0.5989659429,0.1036600843,0.2973740101,Ghost
0.0952655375,0.4722650945,0.432469368,Ghoul
0.6413488984,0.1632232517,0.1954278499,Ghost
0.1606291085,0.2594346404,0.5799362063,Goblin
0.5868049264,0.1103826836,0.3028123379,Ghost
0.1970684975,0.1658672541,0.6370642185,Goblin
0.0833924934,0.6311100721,0.2854973972,Ghoul
0.2911860645,0.1144473404,0.5943666101,Goblin
0.4028412998,0.2490330189,0.348125726,Ghost
0.8190220594,0.0702233613,0.1107546091,Ghost
0.8259890079,0.0571075454,0.1169034615,Ghost
0.2471305579,0.0883511081,0.6645183563,Goblin
0.3761157393,0.1853844672,0.4384998381,Goblin
0.0854349956,0.5060857534,0.4084792435,Ghoul
0.9055323601,0.0449069887,0.0495606326,Ghost
0.1183325648,0.6662864685,0.2153809965,Ghoul
0.1041447893,0.2168651521,0.6789900064,Goblin
0.1128924936,0.2328212559,0.6542862654,Goblin
0.1881339401,0.1439343691,0.6679317355,Goblin
0.2687571645,0.2108045071,0.5204383135,Goblin
0.0596771762,0.753641665,0.1866811663,Ghoul
0.0777632073,0.5061663985,0.4160703421,Ghoul
0.2410212159,0.2257011235,0.5332776904,Goblin
0.860516727,0.0673414171,0.0721418485,Ghost
0.8216323256,0.0697904751,0.1085772216,Ghost
0.1498456895,0.1761715561,0.6739827394,Goblin
0.6324899793,0.1055532694,0.2619567513,Ghost
0.3917469978,0.1227091402,0.4855439067,Goblin
0.2846693397,0.3892937005,0.3260369301,Ghoul
0.7572681308,0.0662824661,0.1764494181,Ghost
0.8515577912,0.0531195514,0.0953227058,Ghost
0.7964431643,0.0705330297,0.1330238283,Ghost
0.0757785365,0.6113798022,0.3128417134,Ghoul
0.5917909145,0.1838987619,0.2243103534,Ghost
0.0666650385,0.8019018769,0.1314330697,Ghoul
0.2669961452,0.3750849962,0.3579188585,Ghoul
0.1867212057,0.4193243086,0.3939544857,Ghoul
0.7718414068,0.06311059,0.1650479585,Ghost
0.5808197856,0.1081703156,0.3110098839,Ghost
0.9055323601,0.0449069887,0.0495606326,Ghost
0.7914351821,0.0579220057,0.1506428272,Ghost
0.2548353672,0.190750882,0.5544137359,Goblin
0.5126649737,0.1477808058,0.3395542204,Ghost
0.1338660866,0.1894759983,0.6766579151,Goblin
0.8781934381,0.0501522869,0.0716543272,Ghost
0.570138216,0.0957091227,0.3341526687,Ghost
0.1737175882,0.2941393554,0.5321430564,Goblin
0.8126803041,0.0705044717,0.116815269,Ghost
0.4787360132,0.1050484776,0.4162155092,Ghost
0.4545584023,0.0820592642,0.4633823633,Goblin
0.3545573354,0.2413507104,0.4040919244,Goblin
0.3082052171,0.3835153282,0.3082794845,Ghoul
0.0826141089,0.3944138288,0.5229720473,Goblin
0.8556702137,0.0615775585,0.0827522129,Ghost
0.1009315923,0.6134530306,0.2856153548,Ghoul
0.4265084863,0.1825610101,0.3909305334,Ghost
0.8218249679,0.0764494613,0.1017256007,Ghost
0.7400744557,0.1003387123,0.1595868468,Ghost
0.1255596727,0.2094016969,0.6650386453,Goblin
0.550591886,0.0896559432,0.3597521186,Ghost
0.2152997702,0.3016197979,0.4830803871,Goblin
0.1366700381,0.3098608851,0.5534690619,Goblin
0.1027508453,0.4785249233,0.4187242687,Ghoul
0.1050141752,0.4928827882,0.4021030068,Ghoul
0.0836741775,0.7097122669,0.2066135854,Ghoul
0.279199034,0.1462882459,0.5745127201,Goblin
0.5671012402,0.1334378123,0.2994609475,Ghost
0.0781611353,0.6372838616,0.2845550179,Ghoul
0.1817672253,0.3445850909,0.4736477137,Goblin
0.4134032428,0.2538794279,0.3327172697,Ghost
0.3272593319,0.1398365796,0.5329040885,Goblin
0.0746430606,0.7789253592,0.1464315355,Ghoul
0.0751780048,0.6551347971,0.2696871758,Ghoul
0.0761550516,0.2947773337,0.6290675998,Goblin
0.177398771,0.6197604537,0.2028407454,Ghoul
0.1487115324,0.1851494312,0.6661390662,Goblin
0.5331932902,0.1195821539,0.3472245336,Ghost
0.7962576151,0.0776417479,0.1261006445,Ghost
0.2583211064,0.1787751019,0.5629037619,Goblin
0.0713551939,0.8217747211,0.1068700999,Ghoul
0.0749052912,0.6910909414,0.2340037972,Ghoul
0.0907529816,0.6562945247,0.2529524863,Ghoul
0.1689805537,0.4566592276,0.3743602037,Ghoul
0.4821213186,0.2171249092,0.3007537425,Ghost
0.1406089067,0.4424063861,0.4169847071,Ghoul
0.3909884393,0.26607126,0.3429402709,Ghost
0.5970700383,0.1869609803,0.2159690261,Ghost
0.1842906773,0.5652554631,0.2504538298,Ghoul
0.758774519,0.0761960521,0.1650294214,Ghost
0.0756975487,0.5239450932,0.4003573954,Ghoul
0.144192338,0.3654864132,0.4903212488,Goblin
0.2102274895,0.2349523753,0.5548201799,Goblin
0.1247182935,0.3920445442,0.4832371175,Goblin
0.8007224202,0.0785874426,0.1206901297,Ghost
0.1322025657,0.3155775368,0.5522199273,Goblin
0.7597773075,0.1234219223,0.1168007404,Ghost
0.213807568,0.5658169985,0.2203753889,Ghoul
0.1303685457,0.3950580657,0.474573344,Goblin
0.2371180654,0.6019753814,0.1609064937,Ghoul
0.6388434768,0.0883813202,0.2727752626,Ghost
0.672123909,0.1209974736,0.2068786025,Ghost
0.0997596979,0.5520092845,0.3482310176,Ghoul
0.1445626915,0.4850636423,0.3703737259,Ghoul
0.287717104,0.2460614741,0.4662214518,Goblin
0.1927646101,0.2517392635,0.5554960966,Goblin
0.6511651874,0.0966855586,0.2521492541,Ghost
0.2363209426,0.2527980208,0.5108810663,Goblin
0.0690254569,0.7147993445,0.2161751837,Ghoul
0.0749339312,0.5962002873,0.3288657963,Ghoul
0.1345300227,0.2037295252,0.6617404222,Goblin
0.8056821823,0.0976561084,0.0966617614,Ghost
0.7119778991,0.1185367182,0.1694854349,Ghost
0.1515312642,0.4008623362,0.4476063848,Goblin
0.3028070331,0.0883401334,0.6088528037,Goblin
0.7423288226,0.1223299503,0.1353412867,Ghost
0.8352477551,0.0572782941,0.1074739769,Ghost
0.1437656581,0.4930419624,0.3631924093,Ghoul
0.6525371075,0.1443769038,0.2030859739,Ghost
0.317219466,0.116781652,0.5659989119,Goblin
0.1718884706,0.6334332824,0.1946782172,Ghoul
0.2003540397,0.4280704856,0.3715754449,Ghoul
0.8252291083,0.0640363917,0.1107345223,Ghost
0.3005200922,0.2431480139,0.4563319087,Goblin
0.8615371585,0.0594144948,0.0790483057,Ghost
0.1818973273,0.4036860168,0.4144166708,Goblin
0.8033249974,0.0702249929,0.1264500171,Ghost
0.0713596046,0.822211206,0.1064292043,Ghoul
0.0951601714,0.751516819,0.1533230543,Ghoul
0.1009523049,0.4018574357,0.4971902668,Goblin
0.0997724757,0.3506050408,0.5496224761,Goblin
0.803242445,0.0743579194,0.1223996207,Ghost
0.8683687449,0.0600688308,0.0715623945,Ghost
0.1151405573,0.5900241137,0.2948352993,Ghoul
0.6005548239,0.0973386168,0.3021065891,Ghost
0.0854938328,0.7571940422,0.1573121399,Ghoul
0.1709027439,0.5576563478,0.2714408636,Ghoul
0.0656134412,0.7181270123,0.216259554,Ghoul
0.0830689371,0.6126179695,0.3043130636,Ghoul
0.1992767006,0.3939200044,0.4068033099,Goblin
0.1469590515,0.4342254102,0.4188155234,Ghoul
0.1834222674,0.2706624568,0.5459153056,Goblin
0.5636908412,0.1595272422,0.2767818868,Ghost
0.2450957,0.1980280876,0.5568762422,Goblin
0.8708013296,0.0611273199,0.0680713356,Ghost
0.0924919844,0.3994616568,0.5080463886,Goblin
0.7970607877,0.0958464146,0.1070928127,Ghost
0.0780827999,0.6117825508,0.3101346493,Ghoul
0.0855428353,0.6264799833,0.2879771292,Ghoul
0.8368538022,0.0623746514,0.1007716134,Ghost
0.0599630773,0.762198925,0.1778379679,Ghoul
0.7515869737,0.0749778897,0.1734351218,Ghost
0.084085606,0.3501126468,0.5658017397,Goblin
0.117476128,0.4588424861,0.4236813784,Ghoul
0.1278053969,0.342738688,0.5294559002,Goblin
0.8809704185,0.0608097389,0.0582198389,Ghost
0.8184728026,0.0666729137,0.1148542538,Ghost
0.0931591764,0.6756575704,0.2311833054,Ghoul
0.2766678929,0.1896165013,0.5337156057,Goblin
0.803506434,0.1062613428,0.090232186,Ghost
0.3001326919,0.1781708151,0.5216964483,Goblin
0.8676652908,0.057966698,0.0743679926,Ghost
0.5272257924,0.0982937962,0.3744804263,Ghost
0.1774097085,0.5226399302,0.2999503314,Ghoul
0.1051134244,0.6946009994,0.2002855539,Ghoul
0.1262312084,0.3734177947,0.5003510118,Goblin
0.2018910944,0.3128029704,0.4853059649,Goblin
0.0861855969,0.7672775388,0.1465368718,Ghoul
0.4876595736,0.0916255042,0.4207149446,Ghost
0.6651924253,0.1326913238,0.2021162808,Ghost
0.054868333,0.8037621379,0.1413695514,Ghoul
0.893823266,0.0488850512,0.0572916828,Ghost
0.2997978628,0.1626769751,0.537525177,Goblin
0.675571382,0.0815575719,0.2428710312,Ghost
0.1025299355,0.6242967248,0.2731733918,Ghoul
0.3317902684,0.1916884929,0.4765212238,Goblin
0.5527877808,0.1160065308,0.3312056363,Ghost
0.0859728009,0.7766604424,0.1373667717,Ghoul
0.1128553376,0.5243356228,0.3628090322,Ghoul
0.8368084431,0.0640733764,0.099118188,Ghost
0.7670730352,0.126678139,0.1062488332,Ghost
0.4600203931,0.2189944535,0.3209851086,Ghost
0.2613187432,0.1870552301,0.5516260266,Goblin
0.77592206,0.1184981242,0.1055797935,Ghost
0.6752007604,0.0758466572,0.2489525378,Ghost
0.7923343182,0.1155812964,0.0920843706,Ghost
0.4173171818,0.1722531021,0.4104297161,Ghost
0.5159386992,0.1823186725,0.3017425835,Ghost
0.0994516984,0.5429127216,0.3576355577,Ghoul
0.1872519404,0.6156644225,0.197083652,Ghoul
0.885944128,0.0537743904,0.0602814518,Ghost
0.6217859983,0.1028637365,0.2753502429,Ghost
0.4463428259,0.2966170013,0.2570402026,Ghost
0.076444231,0.6394640803,0.284091711,Ghoul
0.0801285133,0.8011373281,0.1187341586,Ghoul
0.2155147195,0.2532994747,0.5311858058,Goblin
0.5518298149,0.1549672931,0.2932029068,Ghost
0.1357111484,0.6160898805,0.248199001,Ghoul
0.2501216531,0.2105157822,0.5393625498,Goblin
0.1360968798,0.6597295403,0.2041735649,Ghoul
0.2543026805,0.2896273136,0.4560700059,Goblin
0.0530802831,0.8429309726,0.1039887592,Ghoul
0.8274078369,0.0729281679,0.0996639729,Ghost
0.0670732707,0.6751950979,0.2577316761,Ghoul
0.0526503883,0.806732595,0.1406170577,Ghoul
0.7882723808,0.079053238,0.1326743811,Ghost
0.1740307808,0.4688983262,0.3570709527,Ghoul
0.7883576751,0.1218971908,0.0897451937,Ghost
0.5987042189,0.1287970096,0.2724987566,Ghost
0.4038162529,0.2081074864,0.3880763054,Ghost
0.0715863407,0.8092585802,0.1191550195,Ghoul
0.6679580808,0.1014018208,0.2306401134,Ghost
0.0936103985,0.6310267448,0.2753628492,Ghoul
0.8610696197,0.0634751096,0.0754553154,Ghost
0.1701482683,0.2431199551,0.5867317915,Goblin
0.0963587984,0.6112318039,0.2924093902,Ghoul
0.1813089252,0.4329259098,0.3857651353,Ghoul
0.7026776075,0.1183892339,0.1789332032,Ghost
0.8466889262,0.0734282956,0.0798827186,Ghost
0.1087739468,0.5970115662,0.2942145169,Ghoul
0.0752506182,0.6042408347,0.3205085695,Ghoul
0.1059387252,0.5690886378,0.3249726593,Ghoul
0.8884267211,0.0584946387,0.0530785955,Ghost
0.8456373811,0.0644431338,0.0899194703,Ghost
0.1951995492,0.4742712379,0.3305291831,Ghoul
0.3875739872,0.4056501687,0.2067757994,Ghoul
0.0957715511,0.6013159752,0.3029124737,Ghoul
0.886496067,0.0589078926,0.0545961037,Ghost
0.2406327426,0.2125179321,0.54684937,Goblin
0.4120471179,0.4339956045,0.1539573073,Ghoul
0.1173887253,0.4919936061,0.3906176984,Ghoul
0.2425424308,0.4756566286,0.2818009853,Ghoul
0.3170394301,0.1576044559,0.5253561139,Goblin
0.1981626302,0.5776686668,0.224168703,Ghoul
0.2618715465,0.274746418,0.4633820951,Goblin
0.8832057714,0.0611566268,0.0556375869,Ghost
0.156311661,0.3657234609,0.4779648483,Goblin
0.6944056749,0.1562954783,0.1492988765,Ghost
0.0882563069,0.7668547034,0.1448889971,Ghoul
0.3108441234,0.3827317357,0.3064241111,Ghoul
0.8764802217,0.061269708,0.062250074,Ghost
0.6951745152,0.1282935143,0.1765319854,Ghost
0.8323056698,0.0686807409,0.0990136042,Ghost
0.1200911179,0.4860189855,0.3938898742,Ghoul
0.5931487083,0.209660694,0.1971905828,Ghost
0.1818522513,0.4089195728,0.4092282057,Goblin
0.2046903819,0.3681406081,0.4271690249,Goblin
0.2198482752,0.5170641541,0.2630876005,Ghoul
0.0529102571,0.8379573226,0.1091323942,Ghoul
0.069980219,0.7725379467,0.1574818194,Ghoul
0.1429183036,0.4321399331,0.4249417484,Ghoul
0.1067398638,0.4797509909,0.4135091305,Ghoul
0.17765674,0.3181907535,0.5041524768,Goblin
0.5286893249,0.1972529292,0.2740577757,Ghost
0.1071065813,0.3094270825,0.583466351,Goblin
0.7418234944,0.1124265119,0.1457500607,Ghost
0.1161177009,0.6907247901,0.1931574792,Ghoul
0.1046107933,0.4182063341,0.4771828353,Goblin
0.7884367704,0.0742906928,0.1372725368,Ghost
0.6665011644,0.1106058508,0.2228929996,Ghost
0.1769374311,0.6361435056,0.1869190335,Ghoul
0.0717877895,0.8207967281,0.1074155271,Ghoul
0.2588353455,0.2852312624,0.455933392,Goblin
0.165048331,0.68482548,0.1501262188,Ghoul
0.7370365858,0.0843532309,0.1786101311,Ghost
0.1143978536,0.6995173097,0.1860848665,Ghoul
0.1565313339,0.5619691014,0.2814995348,Ghoul
0.8322713971,0.0748244226,0.0929041505,Ghost
0.0515954457,0.8077699542,0.1406345367,Ghoul
0.1649391353,0.7032174468,0.1318433881,Ghoul
0.2238703519,0.3316909671,0.4444386661,Goblin
0.1034509316,0.7121533155,0.1843957603,Ghoul
0.6752901673,0.1899076998,0.1348021328,Ghost
0.770539999,0.0785567835,0.1509031951,Ghost
0.2591943443,0.3191512525,0.4216543734,Goblin
0.8944874406,0.056194704,0.0493178777,Ghost
0.8352892995,0.0715163946,0.093194291,Ghost
0.1469300836,0.2681576312,0.5849123001,Goblin
0.1048241779,0.5258675218,0.3693083227,Ghoul
0.1356704831,0.5638653636,0.3004641533,Ghoul
0.8065751195,0.0773473829,0.1160775274,Ghost
0.214083001,0.400916338,0.3850007355,Ghoul
0.6029437184,0.1835424304,0.2135138065,Ghost
0.2014747411,0.1597659886,0.638759315,Goblin
0.7331367731,0.0996872112,0.1671760082,Ghost
0.8010834455,0.0910622701,0.1078542694,Ghost
0.8798798323,0.0625209138,0.0575992838,Ghost
0.0945315436,0.7520120144,0.1534564942,Ghoul
0.6311280131,0.1913364381,0.1775355339,Ghost
0.1305685788,0.5161400437,0.3532913923,Ghoul
0.0629374757,0.8261954784,0.1108670533,Ghoul
0.8412314057,0.0687937811,0.0899747834,Ghost
0.0575847141,0.7946799994,0.1477352381,Ghoul
0.7978001833,0.137441799,0.0647580326,Ghost
0.1139025018,0.4830450118,0.403052479,Ghoul
0.0739487261,0.6194871664,0.3065640926,Ghoul
0.3130245507,0.4054650068,0.2815104723,Ghoul
0.6996854544,0.1453717053,0.1549428105,Ghost
0.2601227164,0.2938239872,0.4460532665,Goblin
0.7769004703,0.0882408991,0.1348585933,Ghost
0.552942276,0.2865730226,0.1604847163,Ghost
0.1277320534,0.4034796655,0.4687882662,Goblin
0.084568657,0.7995158434,0.1159155294,Ghoul
0.3700099289,0.2123165131,0.4176735282,Goblin
0.0606080033,0.749473691,0.1899182796,Ghoul
0.5642849207,0.1849562079,0.2507588863,Ghost
0.1617366076,0.6521503925,0.1861129552,Ghoul
0.2467595786,0.2594799101,0.4937605262,Goblin
0.1575970352,0.542289257,0.3001137376,Ghoul
0.0641499981,0.6924801469,0.2433699071,Ghoul
0.6381889582,0.2030529529,0.158758074,Ghost
0.7418557405,0.1143658832,0.1437783837,Ghost
0.0747400746,0.6505990028,0.2746609449,Ghoul
0.0713829696,0.7095211744,0.219095856,Ghoul
0.1529724002,0.5106241107,0.3364034891,Ghoul
0.1868119687,0.1901291311,0.6230589151,Goblin
0.1169766039,0.3497689664,0.5332544446,Goblin
0.835701406,0.0771929175,0.0871056691,Ghost
0.0583723374,0.8697130084,0.0719146356,Ghoul
0.0859577581,0.4842701554,0.4297721088,Ghoul
0.0674729273,0.7695598602,0.1629672199,Ghoul
0.0829191953,0.7399699092,0.1771109104,Ghoul
0.2019576579,0.2933183908,0.5047239661,Goblin
0.7066218853,0.1691178679,0.1242602617,Ghost
0.0516003966,0.815994978,0.1324046254,Ghoul
0.8644285202,0.0709473565,0.0646241382,Ghost
0.7948632836,0.0892285481,0.1159081459,Ghost
